category,checks_with_category,check_share,line_items,line_item_share,check_share_ci_low,check_share_ci_high
Подушка,7365859,0.9247,7890862,0.3912,0.9245,0.9249
Прочее,2330254,0.2925,5780356,0.2865,0.2922,0.2929
Сервис/логистика,1779537,0.2234,1857315,0.0921,0.2231,0.2237
Детские товары,555054,0.0697,656009,0.0325,0.0695,0.0699
Одеяло,428236,0.0538,459818,0.0228,0.0536,0.0539
Наволочка,390482,0.049,483491,0.024,0.0489,0.0492
Косметика/гигиена,374911,0.0471,518261,0.0257,0.0469,0.0472
Постельное белье,225917,0.0284,279737,0.0139,0.0282,0.0285
Другая мебель,178232,0.0224,222571,0.011,0.0223,0.0225
Матрас,143522,0.018,152914,0.0076,0.0179,0.0181
Простыня,136477,0.0171,165855,0.0082,0.017,0.0172
Наматрасник/топпер,135932,0.0171,146811,0.0073,0.017,0.0172
Полотенце,134674,0.0169,176503,0.0087,0.0168,0.017
Кухонный текстиль,118588,0.0149,135123,0.0067,0.0148,0.015
Одежда для дома,109501,0.0137,138809,0.0069,0.0137,0.0138
Хранение/органайзеры,109295,0.0137,128674,0.0064,0.0136,0.0138
Ароматы для дома,87745,0.011,103439,0.0051,0.0109,0.0111
Ковры/коврики,87197,0.0109,98381,0.0049,0.0109,0.011
Шторы/карнизы,79166,0.0099,101674,0.005,0.0099,0.01
Плед,70035,0.0088,77675,0.0039,0.0087,0.0089
Сумки/багаж,68738,0.0086,75861,0.0038,0.0086,0.0087
Кухня/посуда,63021,0.0079,74686,0.0037,0.0079,0.008
Подарки/сувениры,60617,0.0076,72193,0.0036,0.0075,0.0077
Подушка декоративная/диванная,56055,0.007,64306,0.0032,0.007,0.0071
Покрывало,52605,0.0066,56841,0.0028,0.0065,0.0067
Освещение,47654,0.006,52368,0.0026,0.0059,0.006
Пододеяльник,38509,0.0048,44247,0.0022,0.0048,0.0049
Дезодорант/уход,37552,0.0047,43540,0.0022,0.0047,0.0048
Кровать/каркас,35521,0.0045,40790,0.002,0.0044,0.0045
Декор,22118,0.0028,24977,0.0012,0.0027,0.0028
Зеркала,18735,0.0024,19656,0.001,0.0023,0.0024
Часы,14590,0.0018,15271,0.0008,0.0018,0.0019
Аксессуары для сна,8492,0.0011,9485,0.0005,0.001,0.0011
Основание/ламели,3883,0.0005,4366,0.0002,0.0005,0.0005
