target,channel,price_bin,weekday,hour_bucket,item,segment_checks,item_checks,segment_rate,baseline_rate,lift,lift_clipped,uplift_pp,avg_attach_sum,opportunity_score,expected_value,segment_reliable,segment_rate_ci_low,segment_rate_ci_high
pillow,non_marketplace,5-10k,Суббота,День (12-17),Другая мебель,2735,375,0.1371,0.0223,6.139,6.139,11.48,44089.33,13840305.44,6045.16,1,0.1247,0.1505
pillow,non_marketplace,10-20k,Суббота,День (12-17),Матрас,1516,250,0.1649,0.0156,10.579,10.0,14.93,52656.36,11919768.52,8683.44,1,0.1471,0.1844
pillow,non_marketplace,5-10k,Суббота,День (12-17),Матрас,2735,338,0.1236,0.0156,7.928,7.928,10.8,40167.6,11864204.93,4964.04,1,0.1118,0.1364
pillow,non_marketplace,5-10k,Воскресенье,День (12-17),Другая мебель,2542,323,0.1271,0.0223,5.689,5.689,10.47,41986.99,11178012.87,5335.09,1,0.1147,0.1406
pillow,all,10-20k,Суббота,День (12-17),Матрас,3245,270,0.0832,0.0156,5.338,5.338,6.76,50759.23,11137480.46,4223.42,1,0.0742,0.0932
pillow,non_marketplace,5-10k,Воскресенье,День (12-17),Матрас,2542,309,0.1216,0.0156,7.798,7.798,10.6,38205.41,10291620.1,4644.17,1,0.1094,0.1348
pillow,non_marketplace,5-10k,Пятница,День (12-17),Матрас,1922,259,0.1348,0.0156,8.645,8.645,11.92,41026.85,9396805.73,5528.59,1,0.1202,0.1508
pillow,non_marketplace,5-10k,Суббота,Вечер (18-23),Другая мебель,1225,228,0.1861,0.0223,8.333,8.333,16.38,46432.28,9316182.09,8642.09,1,0.1653,0.2089
pillow,non_marketplace,10-20k,Воскресенье,День (12-17),Матрас,1387,198,0.1428,0.0156,9.158,9.158,12.72,52085.22,9186781.25,7435.38,1,0.1253,0.1622
pillow,non_marketplace,5-10k,Среда,День (12-17),Другая мебель,1720,236,0.1372,0.0223,6.143,6.143,11.49,46448.94,9177596.04,6373.23,1,0.1218,0.1543
pillow,non_marketplace,5-10k,Вторник,День (12-17),Матрас,1685,255,0.1513,0.0156,9.709,9.709,13.57,39818.5,9107870.94,6025.94,1,0.135,0.1692
pillow,non_marketplace,5-10k,Четверг,День (12-17),Матрас,1768,240,0.1357,0.0156,8.709,8.709,12.02,41907.99,8902971.06,5688.87,1,0.1206,0.1525
pillow,non_marketplace,5-10k,Понедельник,День (12-17),Другая мебель,1786,241,0.1349,0.0223,6.042,6.042,11.26,42118.29,8470431.59,5683.38,1,0.1199,0.1516
pillow,non_marketplace,5-10k,Пятница,День (12-17),Другая мебель,1922,219,0.1139,0.0223,5.102,5.102,9.16,47987.79,8449355.17,5467.91,1,0.1005,0.1289
pillow,non_marketplace,10-20k,Пятница,День (12-17),Матрас,1346,165,0.1226,0.0156,7.864,7.864,10.7,57187.66,8236104.79,7010.37,1,0.1061,0.1412
pillow,all,5-10k,Суббота,День (12-17),Матрас,12212,422,0.0346,0.0156,2.217,2.217,1.9,35517.34,8227330.77,1227.34,1,0.0315,0.0379
pillow,all,10-20k,Воскресенье,День (12-17),Матрас,3181,214,0.0673,0.0156,4.316,4.316,5.17,49560.47,8148506.92,3334.15,1,0.0591,0.0765
pillow,non_marketplace,5-10k,Вторник,День (12-17),Другая мебель,1685,241,0.143,0.0223,6.404,6.404,12.07,39789.04,8091750.75,5690.9,1,0.1271,0.1606
pillow,non_marketplace,5-10k,Четверг,День (12-17),Другая мебель,1768,221,0.125,0.0223,5.597,5.597,10.27,44196.38,8022197.8,5524.55,1,0.1104,0.1412
pillow,non_marketplace,5-10k,Понедельник,Вечер (18-23),Другая мебель,1056,205,0.1941,0.0223,8.692,8.692,17.18,43783.52,7942976.49,8499.64,1,0.1714,0.2191
pillow,non_marketplace,5-10k,Среда,День (12-17),Матрас,1720,225,0.1308,0.0156,8.392,8.392,11.52,39255.15,7779942.24,5135.12,1,0.1157,0.1476
pillow,non_marketplace,5-10k,Вторник,Вечер (18-23),Другая мебель,937,186,0.1985,0.0223,8.888,8.888,17.62,46871.37,7737176.86,9304.24,1,0.1742,0.2253
pillow,non_marketplace,10-20k,Четверг,День (12-17),Матрас,1314,160,0.1218,0.0156,7.812,7.812,10.62,55442.31,7735184.54,6750.97,1,0.1052,0.1406
pillow,non_marketplace,5-10k,Воскресенье,Вечер (18-23),Другая мебель,1109,198,0.1785,0.0223,7.994,7.994,15.62,42591.88,7378233.77,7604.32,1,0.1571,0.2022
pillow,non_marketplace,10-20k,Вторник,День (12-17),Матрас,1363,149,0.1093,0.0156,7.013,7.013,9.37,56774.37,7253148.4,6206.44,1,0.0938,0.127
pillow,non_marketplace,5-10k,Понедельник,День (12-17),Матрас,1786,221,0.1237,0.0156,7.938,7.938,10.82,37368.8,7218169.86,4624.02,1,0.1093,0.1398
pillow,non_marketplace,10-20k,Среда,День (12-17),Матрас,1396,143,0.1024,0.0156,6.572,6.572,8.68,59375.66,7198676.97,6082.18,1,0.0876,0.1194
pillow,all,10-20k,Пятница,День (12-17),Матрас,2956,173,0.0585,0.0156,3.755,3.755,4.29,55622.49,7059755.35,3255.31,1,0.0506,0.0676
