target,channel,hour_bucket,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
mattress,all,Ночь (00-05),29939,1,Детские товары,4508,0.1506,0.1466,0.1547
mattress,all,Ночь (00-05),29939,2,Одеяло,4404,0.1471,0.1431,0.1512
mattress,all,Ночь (00-05),29939,3,Косметика/гигиена,4116,0.1375,0.1336,0.1414
mattress,all,Утро (06-11),36392,1,Одеяло,5562,0.1528,0.1492,0.1566
mattress,all,Утро (06-11),36392,2,Детские товары,4293,0.118,0.1147,0.1213
mattress,all,Утро (06-11),36392,3,Кровать/каркас,3864,0.1062,0.1031,0.1094
mattress,all,День (12-17),39700,1,Одеяло,6621,0.1668,0.1631,0.1705
mattress,all,День (12-17),39700,2,Кровать/каркас,5163,0.1301,0.1268,0.1334
mattress,all,День (12-17),39700,3,Наматрасник/топпер,4173,0.1051,0.1021,0.1082
mattress,all,Вечер (18-23),37491,1,Одеяло,6368,0.1699,0.1661,0.1737
mattress,all,Вечер (18-23),37491,2,Наматрасник/топпер,4303,0.1148,0.1116,0.118
mattress,all,Вечер (18-23),37491,3,Кровать/каркас,4271,0.1139,0.1107,0.1172
mattress,marketplace,Ночь (00-05),29338,1,Детские товары,4487,0.1529,0.1489,0.1571
mattress,marketplace,Ночь (00-05),29338,2,Одеяло,4301,0.1466,0.1426,0.1507
mattress,marketplace,Ночь (00-05),29338,3,Косметика/гигиена,4112,0.1402,0.1362,0.1442
mattress,marketplace,Утро (06-11),31281,1,Одеяло,4750,0.1518,0.1479,0.1559
mattress,marketplace,Утро (06-11),31281,2,Детские товары,4217,0.1348,0.1311,0.1386
mattress,marketplace,Утро (06-11),31281,3,Косметика/гигиена,3452,0.1104,0.1069,0.1139
mattress,marketplace,День (12-17),29327,1,Одеяло,4739,0.1616,0.1574,0.1658
mattress,marketplace,День (12-17),29327,2,Наволочка,3773,0.1287,0.1249,0.1325
mattress,marketplace,День (12-17),29327,3,Детские товары,2929,0.0999,0.0965,0.1034
mattress,marketplace,Вечер (18-23),33274,1,Одеяло,5459,0.1641,0.1601,0.1681
mattress,marketplace,Вечер (18-23),33274,2,Наволочка,4109,0.1235,0.12,0.1271
mattress,marketplace,Вечер (18-23),33274,3,Детские товары,4041,0.1214,0.118,0.125
mattress,non_marketplace,Ночь (00-05),601,1,Другая мебель,188,0.3128,0.277,0.351
mattress,non_marketplace,Ночь (00-05),601,2,Кровать/каркас,172,0.2862,0.2515,0.3236
mattress,non_marketplace,Ночь (00-05),601,3,Наматрасник/топпер,142,0.2363,0.2041,0.2718
mattress,non_marketplace,Утро (06-11),5111,1,Кровать/каркас,1426,0.279,0.2669,0.2915
mattress,non_marketplace,Утро (06-11),5111,2,Одеяло,812,0.1589,0.1491,0.1692
mattress,non_marketplace,Утро (06-11),5111,3,Другая мебель,643,0.1258,0.117,0.1352
mattress,non_marketplace,День (12-17),10373,1,Кровать/каркас,2875,0.2772,0.2686,0.2859
mattress,non_marketplace,День (12-17),10373,2,Одеяло,1882,0.1814,0.1741,0.189
mattress,non_marketplace,День (12-17),10373,3,Другая мебель,1625,0.1567,0.1498,0.1638
mattress,non_marketplace,Вечер (18-23),4217,1,Кровать/каркас,1343,0.3185,0.3046,0.3327
mattress,non_marketplace,Вечер (18-23),4217,2,Одеяло,909,0.2156,0.2034,0.2282
mattress,non_marketplace,Вечер (18-23),4217,3,Другая мебель,898,0.2129,0.2009,0.2256
