target,hour_bucket,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
pillow,Ночь (00-05),957394,1,Косметика/гигиена,80610,0.0842,0.0836,0.0848
pillow,Ночь (00-05),957394,2,Одеяло,73324,0.0766,0.0761,0.0771
pillow,Ночь (00-05),957394,3,Наволочка,59265,0.0619,0.0614,0.0624
pillow,Утро (06-11),1745561,1,Одеяло,94671,0.0542,0.0539,0.0546
pillow,Утро (06-11),1745561,2,Косметика/гигиена,88056,0.0504,0.0501,0.0508
pillow,Утро (06-11),1745561,3,Наволочка,82606,0.0473,0.047,0.0476
pillow,День (12-17),2501046,1,Одеяло,109560,0.0438,0.0436,0.0441
pillow,День (12-17),2501046,2,Наволочка,105146,0.042,0.0418,0.0423
pillow,День (12-17),2501046,3,Косметика/гигиена,83348,0.0333,0.0331,0.0335
pillow,Вечер (18-23),2161858,1,Одеяло,110457,0.0511,0.0508,0.0514
pillow,Вечер (18-23),2161858,2,Наволочка,103162,0.0477,0.0474,0.048
pillow,Вечер (18-23),2161858,3,Косметика/гигиена,92012,0.0426,0.0423,0.0428
