target,channel,hour_bucket,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
pillow,all,Ночь (00-05),957394,1,Косметика/гигиена,80610,0.0842,0.0836,0.0848
pillow,all,Ночь (00-05),957394,2,Одеяло,73324,0.0766,0.0761,0.0771
pillow,all,Ночь (00-05),957394,3,Наволочка,59265,0.0619,0.0614,0.0624
pillow,all,Утро (06-11),1745561,1,Одеяло,94671,0.0542,0.0539,0.0546
pillow,all,Утро (06-11),1745561,2,Косметика/гигиена,88056,0.0504,0.0501,0.0508
pillow,all,Утро (06-11),1745561,3,Наволочка,82606,0.0473,0.047,0.0476
pillow,all,День (12-17),2501046,1,Одеяло,109560,0.0438,0.0436,0.0441
pillow,all,День (12-17),2501046,2,Наволочка,105146,0.042,0.0418,0.0423
pillow,all,День (12-17),2501046,3,Косметика/гигиена,83348,0.0333,0.0331,0.0335
pillow,all,Вечер (18-23),2161858,1,Одеяло,110457,0.0511,0.0508,0.0514
pillow,all,Вечер (18-23),2161858,2,Наволочка,103162,0.0477,0.0474,0.048
pillow,all,Вечер (18-23),2161858,3,Косметика/гигиена,92012,0.0426,0.0423,0.0428
pillow,marketplace,Ночь (00-05),946960,1,Косметика/гигиена,80118,0.0846,0.084,0.0852
pillow,marketplace,Ночь (00-05),946960,2,Одеяло,72501,0.0766,0.076,0.0771
pillow,marketplace,Ночь (00-05),946960,3,Наволочка,59024,0.0623,0.0618,0.0628
pillow,marketplace,Утро (06-11),1704271,1,Одеяло,90718,0.0532,0.0529,0.0536
pillow,marketplace,Утро (06-11),1704271,2,Косметика/гигиена,86126,0.0505,0.0502,0.0509
pillow,marketplace,Утро (06-11),1704271,3,Наволочка,80776,0.0474,0.0471,0.0477
pillow,marketplace,День (12-17),2416870,1,Наволочка,101848,0.0421,0.0419,0.0424
pillow,marketplace,День (12-17),2416870,2,Одеяло,100910,0.0418,0.0415,0.042
pillow,marketplace,День (12-17),2416870,3,Косметика/гигиена,79456,0.0329,0.0327,0.0331
pillow,marketplace,Вечер (18-23),2111904,1,Одеяло,105224,0.0498,0.0495,0.0501
pillow,marketplace,Вечер (18-23),2111904,2,Наволочка,101828,0.0482,0.0479,0.0485
pillow,marketplace,Вечер (18-23),2111904,3,Косметика/гигиена,90029,0.0426,0.0424,0.0429
pillow,non_marketplace,Ночь (00-05),10434,1,Другая мебель,849,0.0814,0.0763,0.0868
pillow,non_marketplace,Ночь (00-05),10434,2,Одеяло,823,0.0789,0.0739,0.0842
pillow,non_marketplace,Ночь (00-05),10434,3,Матрас,510,0.0489,0.0449,0.0532
pillow,non_marketplace,Утро (06-11),41290,1,Одеяло,3953,0.0957,0.0929,0.0986
pillow,non_marketplace,Утро (06-11),41290,2,Матрас,3724,0.0902,0.0875,0.093
pillow,non_marketplace,Утро (06-11),41290,3,Другая мебель,2085,0.0505,0.0484,0.0527
pillow,non_marketplace,День (12-17),84176,1,Одеяло,8650,0.1028,0.1007,0.1048
pillow,non_marketplace,День (12-17),84176,2,Матрас,8146,0.0968,0.0948,0.0988
pillow,non_marketplace,День (12-17),84176,3,Другая мебель,5340,0.0634,0.0618,0.0651
pillow,non_marketplace,Вечер (18-23),49954,1,Одеяло,5233,0.1048,0.1021,0.1075
pillow,non_marketplace,Вечер (18-23),49954,2,Другая мебель,3638,0.0728,0.0706,0.0751
pillow,non_marketplace,Вечер (18-23),49954,3,Матрас,3602,0.0721,0.0699,0.0744
