target,channel,month,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
pillow,all,2024-01,375365,1,Одеяло,21565,0.0575,0.0567,0.0582
pillow,all,2024-01,375365,2,Наволочка,17572,0.0468,0.0461,0.0475
pillow,all,2024-01,375365,3,Косметика/гигиена,16000,0.0426,0.042,0.0433
pillow,all,2024-02,435969,1,Одеяло,21591,0.0495,0.0489,0.0502
pillow,all,2024-02,435969,2,Наволочка,19593,0.0449,0.0443,0.0456
pillow,all,2024-02,435969,3,Косметика/гигиена,19097,0.0438,0.0432,0.0444
pillow,all,2024-03,295715,1,Косметика/гигиена,14685,0.0497,0.0489,0.0504
pillow,all,2024-03,295715,2,Одеяло,13740,0.0465,0.0457,0.0472
pillow,all,2024-03,295715,3,Наволочка,12012,0.0406,0.0399,0.0413
pillow,all,2024-04,229230,1,Одеяло,13052,0.0569,0.056,0.0579
pillow,all,2024-04,229230,2,Косметика/гигиена,12204,0.0532,0.0523,0.0542
pillow,all,2024-04,229230,3,Наволочка,11386,0.0497,0.0488,0.0506
pillow,all,2024-05,243327,1,Одеяло,13761,0.0566,0.0556,0.0575
pillow,all,2024-05,243327,2,Косметика/гигиена,11591,0.0476,0.0468,0.0485
pillow,all,2024-05,243327,3,Наволочка,11389,0.0468,0.046,0.0477
pillow,all,2024-06,243365,1,Одеяло,12209,0.0502,0.0493,0.051
pillow,all,2024-06,243365,2,Наволочка,11680,0.048,0.0472,0.0489
pillow,all,2024-06,243365,3,Косметика/гигиена,10900,0.0448,0.044,0.0456
pillow,all,2024-07,265427,1,Наволочка,13230,0.0498,0.049,0.0507
pillow,all,2024-07,265427,2,Одеяло,12689,0.0478,0.047,0.0486
pillow,all,2024-07,265427,3,Косметика/гигиена,11842,0.0446,0.0438,0.0454
pillow,all,2024-08,210357,1,Одеяло,9848,0.0468,0.0459,0.0477
pillow,all,2024-08,210357,2,Наволочка,9488,0.0451,0.0442,0.046
pillow,all,2024-08,210357,3,Косметика/гигиена,6312,0.03,0.0293,0.0307
pillow,all,2024-09,192321,1,Одеяло,8377,0.0436,0.0427,0.0445
pillow,all,2024-09,192321,2,Наволочка,7781,0.0405,0.0396,0.0413
pillow,all,2024-09,192321,3,Косметика/гигиена,4442,0.0231,0.0224,0.0238
pillow,all,2024-10,219948,1,Одеяло,9943,0.0452,0.0443,0.0461
pillow,all,2024-10,219948,2,Наволочка,8719,0.0396,0.0388,0.0405
pillow,all,2024-10,219948,3,Косметика/гигиена,5110,0.0232,0.0226,0.0239
pillow,all,2024-11,243710,1,Одеяло,10809,0.0444,0.0435,0.0452
pillow,all,2024-11,243710,2,Наволочка,10045,0.0412,0.0404,0.042
pillow,all,2024-11,243710,3,Косметика/гигиена,6550,0.0269,0.0262,0.0275
pillow,all,2024-12,326259,1,Одеяло,12572,0.0385,0.0379,0.0392
pillow,all,2024-12,326259,2,Наволочка,12115,0.0371,0.0365,0.0378
pillow,all,2024-12,326259,3,Косметика/гигиена,8450,0.0259,0.0254,0.0265
pillow,all,2025-01,204669,1,Наволочка,7418,0.0362,0.0354,0.0371
pillow,all,2025-01,204669,2,Одеяло,7240,0.0354,0.0346,0.0362
pillow,all,2025-01,204669,3,Косметика/гигиена,4964,0.0243,0.0236,0.0249
pillow,all,2025-02,230881,1,Наволочка,8602,0.0373,0.0365,0.038
pillow,all,2025-02,230881,2,Одеяло,8224,0.0356,0.0349,0.0364
pillow,all,2025-02,230881,3,Косметика/гигиена,6420,0.0278,0.0271,0.0285
pillow,all,2025-03,233066,1,Наволочка,8731,0.0375,0.0367,0.0382
pillow,all,2025-03,233066,2,Одеяло,8548,0.0367,0.0359,0.0374
pillow,all,2025-03,233066,3,Косметика/гигиена,5904,0.0253,0.0247,0.026
pillow,all,2025-04,185763,1,Наволочка,7640,0.0411,0.0402,0.042
pillow,all,2025-04,185763,2,Одеяло,7537,0.0406,0.0397,0.0415
pillow,all,2025-04,185763,3,Косметика/гигиена,5154,0.0277,0.027,0.0285
pillow,all,2025-05,261887,1,Одеяло,15821,0.0604,0.0595,0.0613
