target,channel,checks_in_segment,rank,item,checks_with_item,attach_rate,attach_revenue_sum,avg_attach_sum,attach_rate_ci_low,attach_rate_ci_high
only_mattress,all,28705,1,Детские товары,6021,0.2098,8435561.5,1401.02,0.2051,0.2145
only_mattress,all,28705,2,Одеяло,2199,0.0766,3999036.11,1818.57,0.0736,0.0797
only_mattress,all,28705,3,Кровать/каркас,2105,0.0733,29147683.82,13846.88,0.0704,0.0764
only_mattress,all,28705,4,Наволочка,1720,0.0599,2618413.56,1522.33,0.0572,0.0627
only_mattress,all,28705,5,Наматрасник/топпер,1672,0.0582,2157675.87,1290.48,0.0556,0.061
only_mattress,all,28705,6,Косметика/гигиена,1548,0.0539,1302283.34,841.27,0.0514,0.0566
only_mattress,all,28705,7,Постельное белье,1448,0.0504,2934667.53,2026.7,0.048,0.053
only_mattress,all,28705,8,Другая мебель,1183,0.0412,7300402.34,6171.09,0.039,0.0436
only_mattress,marketplace,24385,1,Детские товары,5902,0.242,8269049.37,1401.06,0.2367,0.2475
only_mattress,marketplace,24385,2,Одеяло,2143,0.0879,3791653.31,1769.32,0.0844,0.0915
only_mattress,marketplace,24385,3,Наволочка,1693,0.0694,2594569.88,1532.53,0.0663,0.0727
only_mattress,marketplace,24385,4,Кровать/каркас,1660,0.0681,14238947.84,8577.68,0.065,0.0713
only_mattress,marketplace,24385,5,Наматрасник/топпер,1633,0.067,1884644.21,1154.1,0.0639,0.0702
only_mattress,marketplace,24385,6,Косметика/гигиена,1522,0.0624,1141827.05,750.21,0.0594,0.0655
only_mattress,marketplace,24385,7,Постельное белье,1421,0.0583,2842618.92,2000.44,0.0554,0.0613
only_mattress,marketplace,24385,8,Простыня,1135,0.0465,1638100.71,1443.26,0.044,0.0493
only_mattress,non_marketplace,4320,1,Кровать/каркас,445,0.103,14908735.98,33502.78,0.0943,0.1124
only_mattress,non_marketplace,4320,2,Основание/ламели,217,0.0502,2506488.5,11550.64,0.0441,0.0572
only_mattress,non_marketplace,4320,3,Детские товары,119,0.0275,166512.13,1399.26,0.0231,0.0329
only_mattress,non_marketplace,4320,4,Другая мебель,69,0.016,2015797.25,29214.45,0.0126,0.0202
only_mattress,non_marketplace,4320,5,Одеяло,56,0.013,207382.8,3703.26,0.01,0.0168
only_mattress,non_marketplace,4320,6,Наматрасник/топпер,39,0.009,273031.66,7000.81,0.0066,0.0123
only_mattress,non_marketplace,4320,7,Наволочка,27,0.0063,23843.68,883.1,0.0043,0.0091
only_mattress,non_marketplace,4320,8,Постельное белье,27,0.0063,92048.61,3409.21,0.0043,0.0091
