target,channel,price_bin,checks_in_segment,rank,brand,checks_with_brand,brand_penetration,brand_penetration_ci_low,brand_penetration_ci_high
pillow,all,0-1k,2493639,1,galtex,388382,0.1557,0.1553,0.1562
pillow,all,0-1k,2493639,2,askona buyson,48194,0.0193,0.0192,0.0195
pillow,all,0-1k,2493639,3,iq sleep,44683,0.0179,0.0178,0.0181
pillow,all,0-1k,2493639,4,ночь нежна,44650,0.0179,0.0177,0.0181
pillow,all,0-1k,2493639,5,askona,20995,0.0084,0.0083,0.0085
pillow,all,1-2k,3116020,1,iq sleep,156559,0.0502,0.05,0.0505
pillow,all,1-2k,3116020,2,galtex,94922,0.0305,0.0303,0.0307
pillow,all,1-2k,3116020,3,ночь нежна,52613,0.0169,0.0167,0.017
pillow,all,1-2k,3116020,4,askona buyson,46370,0.0149,0.0147,0.015
pillow,all,1-2k,3116020,5,askona,22552,0.0072,0.0071,0.0073
pillow,all,2-3k,964106,1,askona buyson,27814,0.0288,0.0285,0.0292
pillow,all,2-3k,964106,2,iq sleep,21648,0.0225,0.0222,0.0228
pillow,all,2-3k,964106,3,galtex,14142,0.0147,0.0144,0.0149
pillow,all,2-3k,964106,4,medsleep,10910,0.0113,0.0111,0.0115
pillow,all,2-3k,964106,5,askona,10879,0.0113,0.0111,0.0115
pillow,all,3-5k,538711,1,askona buyson,16651,0.0309,0.0305,0.0314
pillow,all,3-5k,538711,2,beckham hotel collection,15898,0.0295,0.0291,0.03
pillow,all,3-5k,538711,3,askona,15421,0.0286,0.0282,0.0291
pillow,all,3-5k,538711,4,medsleep,12383,0.023,0.0226,0.0234
pillow,all,3-5k,538711,5,iq sleep,10365,0.0192,0.0189,0.0196
pillow,all,5-10k,198203,1,askona,18814,0.0949,0.0936,0.0962
pillow,all,5-10k,198203,2,trelax,8905,0.0449,0.044,0.0458
pillow,all,5-10k,198203,3,togas,4372,0.0221,0.0214,0.0227
pillow,all,5-10k,198203,4,medsleep,4070,0.0205,0.0199,0.0212
pillow,all,5-10k,198203,5,askona buyson,3030,0.0153,0.0148,0.0158
pillow,all,10-20k,46916,1,askona,2595,0.0553,0.0533,0.0574
pillow,all,10-20k,46916,2,togas,2010,0.0428,0.041,0.0447
pillow,all,10-20k,46916,3,kanuda,1905,0.0406,0.0389,0.0424
pillow,all,10-20k,46916,4,kariguz,707,0.0151,0.014,0.0162
pillow,all,10-20k,46916,5,trelax,653,0.0139,0.0129,0.015
pillow,all,20-30k,5904,1,kanuda,364,0.0617,0.0558,0.0681
pillow,all,20-30k,5904,2,togas,359,0.0608,0.055,0.0672
pillow,all,20-30k,5904,3,tempur,276,0.0467,0.0417,0.0524
pillow,all,20-30k,5904,4,askona,228,0.0386,0.034,0.0438
pillow,all,20-30k,5904,5,ormatek,109,0.0185,0.0153,0.0222
pillow,all,30k+,2360,1,togas,236,0.1,0.0885,0.1128
pillow,all,30k+,2360,2,tempur,156,0.0661,0.0568,0.0768
pillow,all,30k+,2360,3,muehldorfer,83,0.0352,0.0285,0.0434
pillow,all,30k+,2360,4,askona,69,0.0292,0.0232,0.0368
pillow,all,30k+,2360,5,kariguz,69,0.0292,0.0232,0.0368
pillow,marketplace,0-1k,2445061,1,galtex,388054,0.1587,0.1583,0.1592
pillow,marketplace,0-1k,2445061,2,askona buyson,45546,0.0186,0.0185,0.0188
pillow,marketplace,0-1k,2445061,3,iq sleep,44650,0.0183,0.0181,0.0184
pillow,marketplace,0-1k,2445061,4,ночь нежна,44630,0.0183,0.0181,0.0184
pillow,marketplace,0-1k,2445061,5,askona,20604,0.0084,0.0083,0.0085
pillow,marketplace,1-2k,3071300,1,iq sleep,156550,0.051,0.0507,0.0512
pillow,marketplace,1-2k,3071300,2,galtex,94846,0.0309,0.0307,0.0311
pillow,marketplace,1-2k,3071300,3,ночь нежна,52563,0.0171,0.017,0.0173
pillow,marketplace,1-2k,3071300,4,askona buyson,45782,0.0149,0.0148,0.015
pillow,marketplace,1-2k,3071300,5,askona,22228,0.0072,0.0071,0.0073
pillow,marketplace,2-3k,941484,1,askona buyson,27577,0.0293,0.029,0.0296
pillow,marketplace,2-3k,941484,2,iq sleep,21646,0.023,0.0227,0.0233
pillow,marketplace,2-3k,941484,3,galtex,14123,0.015,0.0148,0.0152
pillow,marketplace,2-3k,941484,4,medsleep,10820,0.0115,0.0113,0.0117
pillow,marketplace,2-3k,941484,5,askona,10755,0.0114,0.0112,0.0116
pillow,marketplace,3-5k,517743,1,askona buyson,16579,0.032,0.0315,0.0325
pillow,marketplace,3-5k,517743,2,beckham hotel collection,15898,0.0307,0.0302,0.0312
pillow,marketplace,3-5k,517743,3,askona,15335,0.0296,0.0292,0.0301
pillow,marketplace,3-5k,517743,4,medsleep,12291,0.0237,0.0233,0.0242
pillow,marketplace,3-5k,517743,5,iq sleep,10364,0.02,0.0196,0.0204
pillow,marketplace,5-10k,170312,1,askona,18766,0.1102,0.1087,0.1117
pillow,marketplace,5-10k,170312,2,trelax,6508,0.0382,0.0373,0.0391
pillow,marketplace,5-10k,170312,3,togas,4329,0.0254,0.0247,0.0262
pillow,marketplace,5-10k,170312,4,medsleep,4008,0.0235,0.0228,0.0243
pillow,marketplace,5-10k,170312,5,askona buyson,3006,0.0176,0.017,0.0183
pillow,marketplace,10-20k,29325,1,askona,2593,0.0884,0.0852,0.0917
