target,channel,price_bin,checks_in_segment,confidence,segment_reliable,dominant_month,dominant_weekday,dominant_hour_bucket,cross_sell_top_1,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,upsell_top_1,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_avg_sum_2,upsell_avg_sum_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high
mattress,all,<20k,128730,high,1,2025-07,Суббота,Вечер (18-23),Одеяло,Детские товары,Наволочка,15774,13902,0.1225,0.108,Кровать/каркас,Другая мебель,Постельное белье,11868,12381,6497.93,2151.18,171.72,148.24,Пятница,Ночь (00-05),2025-06,211179.37,Среда,День (12-17),2025-03,118138.64,0.1208,0.1243,0.1063,0.1097
mattress,all,20-30k,5739,high,1,2024-12,Суббота,День (12-17),Кровать/каркас,Одеяло,Наматрасник/топпер,1059,999,0.1845,0.1741,Другая мебель,Кровать/каркас,Основание/ламели,1253,343,26039.05,9758.16,830.52,663.93,Среда,Вечер (18-23),2024-08,81438.6,Воскресенье,Вечер (18-23),2025-02,60820.3,0.1747,0.1948,0.1645,0.1841
mattress,all,30-50k,5468,high,1,2024-12,Суббота,День (12-17),Кровать/каркас,Другая мебель,Наматрасник/топпер,1180,929,0.2158,0.1699,Кровать/каркас,Другая мебель,Основание/ламели,1180,752,37680.21,12192.86,8131.43,1158.55,Понедельник,Вечер (18-23),2025-01,757221.25,Понедельник,Вечер (18-23),2025-03,204276.06,0.2051,0.2269,0.1602,0.1801
mattress,all,50-100k,3094,high,1,2024-12,Суббота,День (12-17),Кровать/каркас,Основание/ламели,Одеяло,647,587,0.2091,0.1897,Кровать/каркас,Другая мебель,Основание/ламели,296,647,49811.35,15963.92,3338.29,2538.52,Пятница,Утро (06-11),2025-12,146743.04,Среда,День (12-17),2024-04,94716.58,0.1951,0.2238,0.1763,0.2039
mattress,all,100k+,491,medium,1,2024-12,Суббота,День (12-17),Одеяло,Кровать/каркас,Основание/ламели,116,98,0.2363,0.1996,Кровать/каркас,Другая мебель,Основание/ламели,43,98,84572.92,38269.59,23191.1,7638.33,,,,,,,,,0.2008,0.2758,0.1666,0.2372
mattress,marketplace,<20k,120513,high,1,2025-07,Суббота,Вечер (18-23),Одеяло,Детские товары,Наволочка,15492,13658,0.1286,0.1133,Кровать/каркас,Другая мебель,Постельное белье,10687,11591,4204.65,2028.95,177.47,155.4,Пятница,Ночь (00-05),2025-06,178906.84,Среда,День (12-17),2024-08,143443.57,0.1267,0.1305,0.1116,0.1151
mattress,marketplace,20-30k,2016,high,1,2025-07,Воскресенье,День (12-17),Одеяло,Наматрасник/топпер,Наволочка,453,318,0.2247,0.1577,Кровать/каркас,Другая мебель,Наволочка,216,318,13755.27,3534.6,466.47,557.54,,,2025-07,0.0,,,,,0.207,0.2434,0.1425,0.1743
mattress,marketplace,30-50k,580,medium,1,2024-02,Среда,День (12-17),Одеяло,Наматрасник/топпер,Наволочка,111,92,0.1914,0.1586,Кровать/каркас,Другая мебель,Постельное белье,55,35,17257.68,6249.36,649.97,776.99,,,,,,,,,0.1614,0.2254,0.1311,0.1906
mattress,marketplace,50-100k,100,low,0,2024-04,Понедельник,День (12-17),Одеяло,Наматрасник/топпер,Наволочка,23,21,0.23,0.21,Наволочка,Одеяло,Наматрасник/топпер,36,23,11116.48,3766.68,866.34,2372.11,,,,,,,,,0.1584,0.3215,0.1417,0.2998
mattress,marketplace,100k+,11,low,0,2025-06,Среда,Вечер (18-23),Одеяло,Кровать/каркас,Наволочка,2,2,0.1818,0.1818,Наволочка,Полотенце,Кровать/каркас,1,2,30371.4,29837.0,5424.91,6490.01,,,,,,,,,0.0514,0.477,0.0514,0.477
