target,channel_view,channel,mattress_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,mattress_size,mattress_firmness,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
mattress,all,all,<20k,<20k,404,medium,1,Одеяло,Наволочка,76,66,0.1881,0.1634,256.6,168.44,,,,,,,,,Другая мебель,Постельное белье,43,50,0.1064,0.1238,4657.06,1639.38,120x200,firm,0.153,0.2291,0.1305,0.2026,0.08,0.1403,0.0951,0.1595
mattress,all,all,<20k,<20k,169,low,1,Кровать/каркас,Подарки/сувениры,5,2,0.0296,0.0118,153.85,4.86,,,,,,,,,Постельное белье,Косметика/гигиена,2,2,0.0118,0.0118,2234.3,1777.06,120x200,soft,0.0127,0.0674,0.0033,0.0421,0.0033,0.0421,0.0033,0.0421
mattress,all,all,<20k,<20k,3984,high,1,Одеяло,Наматрасник/топпер,679,583,0.1704,0.1463,268.61,168.76,Воскресенье,Вечер (18-23),2025-11,18785.55,Четверг,Вечер (18-23),2025-12,17539.33,Другая мебель,Постельное белье,410,404,0.1029,0.1014,5772.9,1989.13,120x200,unknown,0.1591,0.1824,0.1357,0.1577,0.0939,0.1127,0.0924,0.1112
mattress,all,all,<20k,<20k,642,medium,1,Кровать/каркас,Наволочка,137,112,0.2134,0.1745,1792.18,336.65,,,,,,,,,Другая мебель,Постельное белье,80,49,0.1246,0.0763,6464.24,2358.5,140x200,firm,0.1835,0.2467,0.1471,0.2057,0.1013,0.1524,0.0582,0.0995
mattress,all,all,<20k,<20k,200,low,1,Наматрасник/топпер,Кровать/каркас,7,6,0.035,0.03,58.08,231.62,,,,,,,,,Одежда для дома,Другая мебель,1,2,0.005,0.01,4049.43,3412.1,140x200,soft,0.0171,0.0705,0.0138,0.0639,0.0009,0.0278,0.0027,0.0357
mattress,all,all,<20k,<20k,7439,high,1,Наматрасник/топпер,Кровать/каркас,1188,1098,0.1597,0.1476,217.42,1449.12,Пятница,День (12-17),2025-03,33365.79,Воскресенье,День (12-17),2025-04,108627.95,Другая мебель,Постельное белье,819,705,0.1101,0.0948,9025.32,2162.35,140x200,unknown,0.1516,0.1682,0.1397,0.1558,0.1032,0.1174,0.0883,0.1016
mattress,all,all,<20k,<20k,1216,high,1,Наматрасник/топпер,Кровать/каркас,238,203,0.1957,0.1669,241.52,1319.02,,,,,,,,,Другая мебель,Шторы/карнизы,173,71,0.1423,0.0584,7347.94,2205.48,160x200,firm,0.1744,0.219,0.147,0.1889,0.1238,0.163,0.0465,0.073
mattress,all,all,<20k,<20k,265,low,1,Кровать/каркас,Другая мебель,10,8,0.0377,0.0302,819.48,242.5,,,,,,,,,Другая мебель,Шторы/карнизы,8,1,0.0302,0.0038,8032.93,4712.38,160x200,soft,0.0206,0.0681,0.0154,0.0584,0.0154,0.0584,0.0007,0.0211
mattress,all,all,<20k,<20k,13684,high,1,Наматрасник/топпер,Другая мебель,2312,1846,0.169,0.1349,223.4,1344.68,Вторник,День (12-17),2024-11,33508.47,Четверг,Ночь (00-05),2025-12,89236.66,Другая мебель,Зеркала,1846,208,0.1349,0.0152,9967.84,3051.46,160x200,unknown,0.1628,0.1753,0.1293,0.1407,0.1293,0.1407,0.0133,0.0174
mattress,all,all,<20k,<20k,148,low,1,Наматрасник/топпер,Наволочка,37,36,0.25,0.2432,476.31,690.18,,,,,,,,,Одеяло,Наматрасник/топпер,40,37,0.2703,0.25,2276.86,1905.23,180x200,firm,0.1872,0.3255,0.1812,0.3183,0.2052,0.347,0.1872,0.3255
mattress,all,all,<20k,<20k,121,low,1,Одеяло,Косметика/гигиена,2,2,0.0165,0.0165,54.02,8.3,,,,,,,,,Одеяло,Одежда для дома,2,1,0.0165,0.0083,3268.5,1614.29,180x200,soft,0.0045,0.0583,0.0045,0.0583,0.0045,0.0583,0.0015,0.0453
mattress,all,all,<20k,<20k,3151,high,1,Наматрасник/топпер,Наволочка,554,530,0.1758,0.1682,247.58,339.05,,,2025-08,11556.9,Среда,День (12-17),2025-06,32251.71,Другая мебель,Ковры/коврики,437,151,0.1387,0.0479,10003.09,3353.8,180x200,unknown,0.1629,0.1895,0.1555,0.1817,0.1271,0.1512,0.041,0.0559
mattress,all,all,<20k,<20k,136,low,1,Наволочка,Наматрасник/топпер,32,24,0.2353,0.1765,655.73,257.46,,,,,,,,,Одеяло,Наматрасник/топпер,34,24,0.25,0.1765,2652.38,1458.94,200x200,unknown,0.1719,0.3132,0.1216,0.2492,0.1848,0.329,0.1216,0.2492
mattress,all,all,<20k,<20k,270,low,1,Наматрасник/топпер,Постельное белье,37,37,0.137,0.137,158.46,221.34,,,,,,,,,Постельное белье,Наволочка,37,33,0.137,0.1222,1615.21,1467.17,80x200,firm,0.1011,0.1832,0.1011,0.1832,0.1011,0.1832,0.0884,0.1667
mattress,all,all,<20k,<20k,3166,high,1,Наволочка,Наматрасник/топпер,460,327,0.1453,0.1033,156.35,141.05,,,2025-11,13684.24,,,2025-08,10320.64,Другая мебель,Постельное белье,193,283,0.061,0.0894,4619.04,2018.64,80x200,unknown,0.1334,0.158,0.0932,0.1144,0.0531,0.0698,0.0799,0.0998
