target,channel,price_bin,checks_in_segment,confidence,segment_reliable,dominant_month,dominant_weekday,dominant_hour_bucket,cross_sell_top_1,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,upsell_top_1,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_avg_sum_2,upsell_avg_sum_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high
pillow,all,0-1k,2493639,high,1,2025-12,Среда,День (12-17),Одеяло,Наволочка,Косметика/гигиена,139884,137385,0.0561,0.0551,Матрас,Другая мебель,Постельное белье,65455,92958,2379.17,1673.01,54.18,32.5,Суббота,Ночь (00-05),2025-09,935597.1,Суббота,Ночь (00-05),2025-09,1419394.55,0.0558,0.0564,0.0548,0.0554
pillow,all,1-2k,3116020,high,1,2025-12,Воскресенье,День (12-17),Одеяло,Косметика/гигиена,Наволочка,137375,131849,0.0441,0.0423,Матрас,Другая мебель,Постельное белье,60221,73578,3180.46,2229.43,31.93,57.51,Суббота,Ночь (00-05),2025-08,1621654.75,Суббота,Ночь (00-05),2025-08,826644.26,0.0439,0.0443,0.0421,0.0425
pillow,all,2-3k,964106,high,1,2025-12,Воскресенье,День (12-17),Одеяло,Наволочка,Косметика/гигиена,42779,40823,0.0444,0.0423,Матрас,Другая мебель,Постельное белье,19851,22060,4639.54,2874.63,77.26,35.54,Пятница,Ночь (00-05),2025-08,342519.7,Суббота,Ночь (00-05),2025-08,532886.22,0.044,0.0448,0.0419,0.0427
pillow,all,3-5k,538711,high,1,2025-12,Воскресенье,День (12-17),Одеяло,Наволочка,Косметика/гигиена,24027,21357,0.0446,0.0396,Матрас,Другая мебель,Постельное белье,10845,11546,6814.15,3876.32,103.09,39.53,Пятница,Вечер (18-23),2025-08,224187.11,Суббота,Ночь (00-05),2025-08,336178.12,0.0441,0.0452,0.0391,0.0402
pillow,all,5-10k,198203,high,1,2024-12,Воскресенье,День (12-17),Одеяло,Наволочка,Другая мебель,7906,6873,0.0399,0.0347,Матрас,Другая мебель,Одеяло,6873,11698,28734.05,6602.19,139.32,996.4,Воскресенье,Вечер (18-23),2024-04,130341.61,Вторник,Ночь (00-05),2025-03,1939350.5,0.039,0.0408,0.0339,0.0355
pillow,all,10-20k,46916,high,1,2024-12,Суббота,День (12-17),Одеяло,Наволочка,Матрас,3070,2457,0.0654,0.0524,Матрас,Кровать/каркас,Другая мебель,795,1097,49658.03,32540.99,335.07,2721.55,Среда,Утро (06-11),2024-02,425150.99,Суббота,День (12-17),2024-06,5078903.95,0.0632,0.0677,0.0504,0.0544
pillow,all,20-30k,5904,high,1,2024-12,Понедельник,День (12-17),Одеяло,Наволочка,Матрас,461,438,0.0781,0.0742,Матрас,Кровать/каркас,Другая мебель,150,123,66350.37,27862.1,623.95,5754.61,Вторник,Утро (06-11),2024-02,154747.66,Четверг,День (12-17),2025-08,438317.37,0.0715,0.0852,0.0678,0.0812
pillow,all,30k+,2360,high,1,2024-12,Среда,День (12-17),Одеяло,Наволочка,Матрас,203,199,0.086,0.0843,Матрас,Кровать/каркас,Одеяло,47,490,76805.22,41621.59,1291.21,9379.17,,,,,,,,,0.0754,0.098,0.0738,0.0962
pillow,marketplace,0-1k,2445061,high,1,2025-12,Среда,День (12-17),Одеяло,Наволочка,Косметика/гигиена,138652,133662,0.0567,0.0547,Матрас,Другая мебель,Постельное белье,63183,91147,2020.15,1657.32,54.92,32.13,Суббота,Ночь (00-05),2025-09,919369.83,Суббота,Ночь (00-05),2025-09,1428416.58,0.0564,0.057,0.0544,0.055
pillow,marketplace,1-2k,3071300,high,1,2025-12,Воскресенье,День (12-17),Косметика/гигиена,Одеяло,Наволочка,134247,130670,0.0437,0.0425,Матрас,Другая мебель,Постельное белье,58113,71654,2567.11,2188.63,76.51,57.92,Суббота,Ночь (00-05),2025-08,2028992.09,Суббота,Ночь (00-05),2025-08,816580.13,0.0435,0.0439,0.0423,0.0428
pillow,marketplace,2-3k,941484,high,1,2025-12,Воскресенье,День (12-17),Одеяло,Наволочка,Косметика/гигиена,42197,40263,0.0448,0.0428,Матрас,Другая мебель,Постельное белье,18582,21039,2976.9,2760.81,78.21,35.49,Пятница,Ночь (00-05),2025-08,339130.28,Суббота,Ночь (00-05),2025-08,522605.79,0.0444,0.0452,0.0424,0.0432
pillow,marketplace,3-5k,517743,high,1,2025-12,Воскресенье,День (12-17),Одеяло,Наволочка,Косметика/гигиена,23448,20996,0.0453,0.0406,Матрас,Другая мебель,Постельное белье,9605,10459,3752.11,3641.05,104.97,39.82,Пятница,Вечер (18-23),2025-08,206483.64,Суббота,Ночь (00-05),2025-08,326767.31,0.0447,0.0459,0.04,0.0411
pillow,marketplace,5-10k,170312,high,1,2024-12,Воскресенье,День (12-17),Одеяло,Наволочка,Косметика/гигиена,7196,5643,0.0423,0.0331,Матрас,Одеяло,Другая мебель,9237,2715,5887.65,5308.42,150.37,41.45,Воскресенье,Вечер (18-23),2025-06,154770.74,Суббота,Ночь (00-05),2025-08,90979.86,0.0413,0.0432,0.0323,0.034
pillow,marketplace,10-20k,29325,high,1,2024-12,Воскресенье,День (12-17),Одеяло,Наволочка,Косметика/гигиена,1106,763,0.0377,0.026,Одеяло,Постельное белье,Другая мебель,350,338,9417.87,7436.64,238.72,42.53,Воскресенье,Вечер (18-23),2024-04,69862.39,Суббота,Утро (06-11),2025-07,13731.69,0.0356,0.04,0.0243,0.0279
pillow,marketplace,20-30k,3427,high,1,2024-02,Понедельник,День (12-17),Одеяло,Наволочка,Косметика/гигиена,138,82,0.0403,0.0239,Матрас,Одеяло,Постельное белье,285,60,19383.82,16919.23,470.96,52.86,,,,,,,,,0.0342,0.0474,0.0193,0.0296
pillow,marketplace,30k+,1353,medium,1,2024-12,Среда,День (12-17),Одеяло,Наволочка,Полотенце,69,34,0.051,0.0251,Одеяло,Наволочка,Полотенце,69,34,27764.44,17882.8,1415.92,449.38,,,,,,,,,0.0405,0.064,0.018,0.0349
pillow,non_marketplace,0-1k,48578,high,1,2024-02,Суббота,День (12-17),Одеяло,Косметика/гигиена,Другая мебель,3723,2272,0.0766,0.0468,Кровать/каркас,Матрас,Другая мебель,1804,2272,13926.28,12363.45,50.99,578.24,Пятница,День (12-17),2024-03,65087.0,Воскресенье,Вечер (18-23),2025-06,317200.58,0.0743,0.079,0.0449,0.0487
pillow,non_marketplace,1-2k,44720,high,1,2024-12,Суббота,День (12-17),Одеяло,Косметика/гигиена,Матрас,3076,2906,0.0688,0.065,Кровать/каркас,Другая мебель,Матрас,2108,2906,20089.34,19905.25,68.79,1293.48,Понедельник,День (12-17),2024-12,58432.26,Суббота,День (12-17),2024-08,1633401.06,0.0665,0.0712,0.0627,0.0673
pillow,non_marketplace,2-3k,22622,high,1,2024-12,Суббота,День (12-17),Одеяло,Матрас,Другая мебель,2208,1269,0.0976,0.0561,Кровать/каркас,Другая мебель,Матрас,1269,2208,28985.61,23890.62,2331.82,1625.97,Суббота,День (12-17),2024-08,1627043.02,Пятница,День (12-17),2025-06,559492.5,0.0938,0.1015,0.0532,0.0592
pillow,non_marketplace,3-5k,20968,high,1,2024-12,Суббота,День (12-17),Матрас,Одеяло,Другая мебель,2515,1240,0.1199,0.0591,Кровать/каркас,Другая мебель,Матрас,1240,2546,30532.62,28355.53,686.97,1805.63,Среда,День (12-17),2024-08,151055.81,Среда,День (12-17),2025-05,547532.79,0.1156,0.1244,0.056,0.0624
pillow,non_marketplace,5-10k,27891,high,1,2024-12,Суббота,День (12-17),Другая мебель,Матрас,Одеяло,3708,2461,0.1329,0.0882,Другая мебель,Матрас,Кровать/каркас,3708,1342,38885.65,37059.61,5169.7,819.2,Суббота,Утро (06-11),2024-09,1307570.2,Пятница,День (12-17),2025-09,291538.93,0.129,0.137,0.085,0.0916
pillow,non_marketplace,10-20k,17591,high,1,2024-02,Суббота,День (12-17),Матрас,Наволочка,Одеяло,1964,1727,0.1116,0.0982,Матрас,Кровать/каркас,Другая мебель,744,759,51907.48,43720.52,495.68,1425.43,Среда,Утро (06-11),2024-02,407764.29,Пятница,День (12-17),2024-08,252702.02,0.1071,0.1164,0.0939,0.1027
pillow,non_marketplace,20-30k,2477,high,1,2024-12,Пятница,День (12-17),Одеяло,Матрас,Наволочка,403,323,0.1627,0.1304,Матрас,Кровать/каркас,Другая мебель,139,72,71074.44,37878.85,13179.35,835.63,Четверг,День (12-17),,211281.35,Вторник,День (12-17),,82834.46,0.1487,0.1778,0.1177,0.1442
pillow,non_marketplace,30k+,1007,high,1,2024-08,Среда,День (12-17),Одеяло,Матрас,Наволочка,191,134,0.1897,0.1331,Матрас,Кровать/каркас,Другая мебель,45,34,80024.75,50608.83,21670.16,1123.64,,,,,,,,,0.1667,0.215,0.1135,0.1554
