target,channel_view,channel,pillow_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,pillow_size,pillow_type,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
pillow,all,all,0-1k,0-1k,1897,high,1,Косметика/гигиена,Кухонный текстиль,139,133,0.0733,0.0701,31.64,28.4,,,2024-01,635.85,,,2024-01,13946.17,Постельное белье,Одеяло,68,55,0.0358,0.029,1525.56,1376.64,40x60,anatomic,0.0624,0.0859,0.0595,0.0825,0.0284,0.0452,0.0223,0.0375
pillow,all,all,0-1k,0-1k,5381,high,1,Детские товары,Одеяло,204,178,0.0379,0.0331,46.47,39.28,,,,,,,,,Другая мебель,Наматрасник/топпер,61,63,0.0113,0.0117,2210.29,1480.51,40x60,down,0.0331,0.0434,0.0286,0.0382,0.0088,0.0145,0.0092,0.015
pillow,all,all,0-1k,0-1k,5237,medium,1,Подарки/сувениры,Детские товары,74,57,0.0141,0.0109,4.39,5.41,Вторник,Вечер (18-23),2024-10,12904.93,,,,,Детские товары,Подарки/сувениры,57,74,0.0109,0.0141,496.81,310.45,40x60,memory,0.0113,0.0177,0.0084,0.0141,0.0084,0.0141,0.0113,0.0177
pillow,all,all,0-1k,0-1k,4673,high,1,Косметика/гигиена,Наволочка,127,120,0.0272,0.0257,16.43,18.98,,,,,,,,,Простыня,Наволочка,54,120,0.0116,0.0257,942.25,739.04,40x60,orthopedic,0.0229,0.0322,0.0215,0.0306,0.0089,0.015,0.0215,0.0306
pillow,all,all,0-1k,0-1k,6542,high,1,Наволочка,Косметика/гигиена,524,508,0.0801,0.0777,43.71,47.27,Четверг,Вечер (18-23),2024-03,6442.54,,,2024-02,14203.62,Матрас,Другая мебель,160,195,0.0245,0.0298,4366.02,1794.44,40x60,unknown,0.0738,0.0869,0.0714,0.0844,0.021,0.0285,0.026,0.0342
pillow,all,all,0-1k,0-1k,72176,high,1,Косметика/гигиена,Наволочка,4004,3750,0.0555,0.052,33.79,55.94,Среда,Ночь (00-05),2025-12,46941.16,Вторник,Ночь (00-05),2024-11,25427.74,Другая мебель,Постельное белье,1506,1831,0.0209,0.0254,2293.91,2051.29,50x70,anatomic,0.0538,0.0572,0.0504,0.0536,0.0198,0.0219,0.0242,0.0265
pillow,all,all,0-1k,0-1k,228210,high,1,Одеяло,Косметика/гигиена,12364,9233,0.0542,0.0405,68.1,25.51,Среда,Ночь (00-05),2024-01,108991.4,Пятница,Ночь (00-05),2025-11,85306.08,Другая мебель,Постельное белье,3857,5100,0.0169,0.0223,2325.3,1823.44,50x70,down,0.0533,0.0551,0.0397,0.0413,0.0164,0.0174,0.0217,0.023
pillow,all,all,0-1k,0-1k,3655,high,1,Наволочка,Детские товары,169,131,0.0462,0.0358,36.55,37.38,,,,,,,,,Постельное белье,Другая мебель,87,100,0.0238,0.0274,2146.27,1734.22,50x70,memory,0.0399,0.0535,0.0303,0.0424,0.0193,0.0293,0.0225,0.0332
pillow,all,all,0-1k,0-1k,20160,high,1,Наволочка,Детские товары,806,760,0.04,0.0377,32.1,39.99,Четверг,Ночь (00-05),2025-09,7951.13,Суббота,Ночь (00-05),2025-09,24699.11,Постельное белье,Другая мебель,581,505,0.0288,0.025,1983.79,1966.47,50x70,orthopedic,0.0374,0.0428,0.0352,0.0404,0.0266,0.0312,0.023,0.0273
pillow,all,all,0-1k,0-1k,58995,high,1,Одеяло,Косметика/гигиена,3047,1596,0.0516,0.0271,60.6,16.92,Пятница,Вечер (18-23),2024-01,29562.98,Пятница,Вечер (18-23),2024-02,9680.47,Другая мебель,Постельное белье,610,704,0.0103,0.0119,2542.36,1552.01,50x70,synthetic,0.0499,0.0535,0.0258,0.0284,0.0096,0.0112,0.0111,0.0128
pillow,all,all,0-1k,0-1k,813392,high,1,Наволочка,Косметика/гигиена,67113,53618,0.0825,0.0659,78.77,40.39,Суббота,Ночь (00-05),2025-09,328263.88,Суббота,Ночь (00-05),2025-09,577351.78,Другая мебель,Постельное белье,29855,41396,0.0367,0.0509,2746.73,1763.99,50x70,unknown,0.0819,0.0831,0.0654,0.0665,0.0363,0.0371,0.0504,0.0514
pillow,all,all,0-1k,0-1k,4772,high,1,Косметика/гигиена,Одеяло,139,81,0.0291,0.017,20.33,24.55,,,,,,,,,Одеяло,Детские товары,81,80,0.017,0.0168,1446.58,933.35,60x60,down,0.0247,0.0343,0.0137,0.021,0.0137,0.021,0.0135,0.0208
pillow,all,all,0-1k,0-1k,348,low,1,Матрас,Наволочка,5,4,0.0144,0.0115,38.66,13.83,,,,,,,,,Освещение,Одеяло,2,2,0.0057,0.0057,3347.0,2757.0,60x60,synthetic,0.0062,0.0332,0.0045,0.0292,0.0016,0.0207,0.0016,0.0207
pillow,all,all,0-1k,0-1k,395,medium,1,Детские товары,Косметика/гигиена,47,35,0.119,0.0886,130.85,57.03,,,,,,,,,Косметика/гигиена,Наволочка,35,49,0.0886,0.1241,643.67,640.43,60x60,unknown,0.0907,0.1546,0.0644,0.1207,0.0644,0.1207,0.0951,0.1602
pillow,all,all,0-1k,0-1k,14393,high,1,Косметика/гигиена,Наволочка,853,664,0.0593,0.0461,32.49,44.05,Суббота,Ночь (00-05),2025-11,11447.96,Среда,Вечер (18-23),2025-11,14181.89,Другая мебель,Постельное белье,382,631,0.0265,0.0438,2011.71,1688.06,70x70,anatomic,0.0555,0.0632,0.0428,0.0497,0.024,0.0293,0.0406,0.0473
pillow,all,all,0-1k,0-1k,161011,high,1,Наволочка,Косметика/гигиена,7240,5859,0.045,0.0364,47.93,20.46,Вторник,Вечер (18-23),2024-01,46316.76,Вторник,Ночь (00-05),2025-10,60555.92,Другая мебель,Постельное белье,2496,5234,0.0155,0.0325,2046.01,1610.48,70x70,down,0.044,0.046,0.0355,0.0373,0.0149,0.0161,0.0317,0.0334
