target,channel,price_bin,checks_in_segment,rank,item,checks_with_item,attach_rate,attach_revenue_sum,avg_attach_sum,segment_reliable,attach_rate_ci_low,attach_rate_ci_high
mattress,all,<20k,128730,1,Одеяло,20349,0.1581,35003951.93,1720.18,1,0.1561,0.1601
mattress,all,<20k,128730,2,Детские товары,15774,0.1225,22104968.93,1401.35,1,0.1208,0.1243
mattress,all,<20k,128730,3,Наволочка,13902,0.108,19083105.92,1372.69,1,0.1063,0.1097
mattress,all,<20k,128730,4,Наматрасник/топпер,12820,0.0996,17222698.27,1343.42,1,0.098,0.1012
mattress,all,<20k,128730,5,Косметика/гигиена,12687,0.0986,9767713.08,769.9,1,0.0969,0.1002
mattress,all,<20k,128730,6,Постельное белье,12381,0.0962,26633775.23,2151.18,1,0.0946,0.0978
mattress,all,<20k,128730,7,Кровать/каркас,12278,0.0954,124684863.46,10155.14,1,0.0938,0.097
mattress,all,<20k,128730,8,Другая мебель,11868,0.0922,77117375.43,6497.93,1,0.0906,0.0938
mattress,all,20-30k,5739,1,Кровать/каркас,1253,0.2183,32626925.62,26039.05,1,0.2078,0.2292
mattress,all,20-30k,5739,2,Одеяло,1059,0.1845,4766381.97,4500.83,1,0.1747,0.1948
mattress,all,20-30k,5739,3,Наматрасник/топпер,999,0.1741,3810313.61,3814.13,1,0.1645,0.1841
mattress,all,20-30k,5739,4,Другая мебель,937,0.1633,28726342.14,30657.78,1,0.1539,0.1731
mattress,all,20-30k,5739,5,Постельное белье,409,0.0713,1946574.24,4759.35,1,0.0649,0.0782
mattress,all,20-30k,5739,6,Наволочка,375,0.0653,1273591.92,3396.25,1,0.0592,0.072
mattress,all,20-30k,5739,7,Основание/ламели,343,0.0598,3347049.67,9758.16,1,0.0539,0.0662
mattress,all,20-30k,5739,8,Простыня,318,0.0554,761569.71,2394.87,1,0.0498,0.0616
mattress,all,30-50k,5468,1,Кровать/каркас,1294,0.2366,49361896.91,38146.75,1,0.2256,0.2481
mattress,all,30-50k,5468,2,Другая мебель,1180,0.2158,44462646.63,37680.21,1,0.2051,0.2269
mattress,all,30-50k,5468,3,Наматрасник/топпер,929,0.1699,6334955.14,6819.11,1,0.1602,0.1801
mattress,all,30-50k,5468,4,Одеяло,809,0.148,6418858.16,7934.31,1,0.1388,0.1576
mattress,all,30-50k,5468,5,Основание/ламели,752,0.1375,9169029.06,12192.86,1,0.1287,0.1469
mattress,all,30-50k,5468,6,Постельное белье,286,0.0523,2165194.2,7570.61,1,0.0467,0.0585
mattress,all,30-50k,5468,7,Простыня,207,0.0379,783776.84,3786.36,1,0.0331,0.0432
mattress,all,30-50k,5468,8,Наволочка,205,0.0375,788569.11,3846.68,1,0.0328,0.0429
mattress,all,50-100k,3094,1,Кровать/каркас,883,0.2854,48301003.72,54701.02,1,0.2698,0.3016
mattress,all,50-100k,3094,2,Основание/ламели,647,0.2091,10328654.0,15963.92,1,0.1951,0.2238
mattress,all,50-100k,3094,3,Одеяло,587,0.1897,7854166.27,13380.18,1,0.1763,0.2039
mattress,all,50-100k,3094,4,Другая мебель,296,0.0957,14744160.96,49811.35,1,0.0858,0.1065
mattress,all,50-100k,3094,5,Наматрасник/топпер,216,0.0698,1777728.53,8230.22,1,0.0614,0.0793
mattress,all,50-100k,3094,6,Постельное белье,168,0.0543,1814763.68,10802.16,1,0.0469,0.0629
mattress,all,50-100k,3094,7,Простыня,141,0.0456,701520.38,4975.32,1,0.0388,0.0535
mattress,all,50-100k,3094,8,Наволочка,130,0.042,707624.36,5443.26,1,0.0355,0.0497
mattress,all,100k+,491,1,Одеяло,151,0.3075,4141169.08,27424.96,1,0.2683,0.3497
mattress,all,100k+,491,2,Кровать/каркас,116,0.2363,11386830.45,98162.33,1,0.2008,0.2758
mattress,all,100k+,491,3,Основание/ламели,98,0.1996,3750420.21,38269.59,1,0.1666,0.2372
mattress,all,100k+,491,4,Наматрасник/топпер,69,0.1405,834299.99,12091.3,1,0.1126,0.1741
mattress,all,100k+,491,5,Другая мебель,43,0.0876,3636635.64,84572.92,1,0.0657,0.1159
mattress,all,100k+,491,6,Простыня,38,0.0774,277830.2,7311.32,1,0.0569,0.1044
mattress,all,100k+,491,7,Постельное белье,35,0.0713,459018.05,13114.8,1,0.0517,0.0975
mattress,all,100k+,491,8,Наволочка,19,0.0387,313075.27,16477.65,1,0.0249,0.0596
mattress,marketplace,<20k,120513,1,Одеяло,18566,0.1541,29426333.08,1584.96,1,0.152,0.1561
