target,channel,price_bin,checks_in_segment,rank,item,checks_with_item,attach_rate,attach_revenue_sum,avg_attach_sum,segment_reliable,attach_rate_ci_low,attach_rate_ci_high
pillow,all,0-1k,2493639,1,Одеяло,156700,0.0628,173662675.51,1108.25,1,0.0625,0.0631
pillow,all,0-1k,2493639,2,Наволочка,139884,0.0561,135112402.85,965.89,1,0.0558,0.0564
pillow,all,0-1k,2493639,3,Косметика/гигиена,137385,0.0551,81035721.93,589.84,1,0.0548,0.0554
pillow,all,0-1k,2493639,4,Постельное белье,92958,0.0373,155520038.47,1673.01,1,0.037,0.0375
pillow,all,0-1k,2493639,5,Детские товары,85467,0.0343,87822664.84,1027.56,1,0.034,0.0345
pillow,all,0-1k,2493639,6,Другая мебель,65455,0.0262,155728637.09,2379.17,1,0.0261,0.0264
pillow,all,0-1k,2493639,7,Полотенце,53459,0.0214,39605735.55,740.86,1,0.0213,0.0216
pillow,all,0-1k,2493639,8,Простыня,46794,0.0188,43915161.84,938.48,1,0.0186,0.0189
pillow,all,1-2k,3116020,1,Одеяло,138391,0.0444,246164793.5,1778.76,1,0.0442,0.0446
pillow,all,1-2k,3116020,2,Косметика/гигиена,137375,0.0441,99502521.61,724.31,1,0.0439,0.0443
pillow,all,1-2k,3116020,3,Наволочка,131849,0.0423,179209242.24,1359.2,1,0.0421,0.0425
pillow,all,1-2k,3116020,4,Детские товары,80157,0.0257,93496117.07,1166.41,1,0.0255,0.0259
pillow,all,1-2k,3116020,5,Постельное белье,73578,0.0236,164036655.7,2229.43,1,0.0234,0.0238
pillow,all,1-2k,3116020,6,Другая мебель,60221,0.0193,191530739.95,3180.46,1,0.0192,0.0195
pillow,all,1-2k,3116020,7,Наматрасник/топпер,46107,0.0148,74950516.5,1625.58,1,0.0147,0.0149
pillow,all,1-2k,3116020,8,Простыня,46022,0.0148,56821558.84,1234.66,1,0.0146,0.0149
pillow,all,2-3k,964106,1,Одеяло,47314,0.0491,118763312.74,2510.11,1,0.0486,0.0495
pillow,all,2-3k,964106,2,Наволочка,42779,0.0444,74488955.38,1741.25,1,0.044,0.0448
pillow,all,2-3k,964106,3,Косметика/гигиена,40823,0.0423,34262358.59,839.29,1,0.0419,0.0427
pillow,all,2-3k,964106,4,Детские товары,23997,0.0249,30425588.44,1267.89,1,0.0246,0.0252
pillow,all,2-3k,964106,5,Постельное белье,22060,0.0229,63414257.01,2874.63,1,0.0226,0.0232
pillow,all,2-3k,964106,6,Другая мебель,19851,0.0206,92099582.16,4639.54,1,0.0203,0.0209
pillow,all,2-3k,964106,7,Простыня,15540,0.0161,23753532.38,1528.54,1,0.0159,0.0164
pillow,all,2-3k,964106,8,Наматрасник/топпер,15234,0.0158,28853697.49,1894.03,1,0.0156,0.0161
pillow,all,3-5k,538711,1,Одеяло,29180,0.0542,104822724.56,3592.28,1,0.0536,0.0548
