target,channel,price_bin,weekday,hour_bucket,item,segment_checks,item_checks,segment_rate,baseline_rate,lift,lift_clipped,uplift_pp,avg_attach_sum,opportunity_score,expected_value,segment_reliable,segment_rate_ci_low,segment_rate_ci_high
pillow,non_marketplace,10-20k,Суббота,День (12-17),Матрас,1516,250,0.1649,0.0156,10.579,10.0,14.93,52656.36,11919768.52,8683.44,1,0.1471,0.1844
pillow,non_marketplace,5-10k,Суббота,Утро (06-11),Матрас,893,147,0.1646,0.0156,10.56,10.0,14.9,46238.0,6153361.08,7611.41,1,0.1417,0.1904
pillow,non_marketplace,1-2k,Суббота,День (12-17),Кровать/каркас,2904,134,0.0461,0.0041,11.307,10.0,4.21,24599.1,3004751.0,1135.08,1,0.0391,0.0544
pillow,non_marketplace,5-10k,Вторник,Утро (06-11),Матрас,736,130,0.1766,0.0156,11.331,10.0,16.1,37949.12,4498011.96,6702.97,1,0.1508,0.2058
pillow,non_marketplace,1-2k,Четверг,День (12-17),Кровать/каркас,2762,130,0.0471,0.0041,11.533,10.0,4.3,23987.77,2848027.54,1129.04,1,0.0398,0.0556
pillow,non_marketplace,5-10k,Четверг,Утро (06-11),Матрас,725,118,0.1628,0.0156,10.441,10.0,14.72,43078.78,4596458.82,7011.44,1,0.1377,0.1914
pillow,non_marketplace,5-10k,Суббота,День (12-17),Кровать/каркас,2735,116,0.0424,0.0041,10.393,10.0,3.83,37319.32,3912501.17,1582.83,1,0.0355,0.0506
pillow,non_marketplace,5-10k,Пятница,Утро (06-11),Матрас,717,115,0.1604,0.0156,10.29,10.0,14.48,49132.02,5101062.78,7880.31,1,0.1353,0.1891
pillow,non_marketplace,1-2k,Воскресенье,День (12-17),Кровать/каркас,2792,114,0.0408,0.0041,10.005,10.0,3.67,22216.49,2279542.66,907.12,1,0.0341,0.0488
pillow,non_marketplace,3-5k,Среда,Утро (06-11),Матрас,650,113,0.1738,0.0156,11.153,10.0,15.83,24829.4,2554150.49,4316.5,1,0.1467,0.2049
pillow,non_marketplace,1-2k,Пятница,День (12-17),Кровать/каркас,2712,112,0.0413,0.0041,10.12,10.0,3.72,25413.52,2565046.59,1049.53,1,0.0344,0.0495
