target,weekday,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
mattress,Понедельник,19818,1,Одеяло,3222,0.1626,0.1575,0.1678
mattress,Понедельник,19818,2,Детские товары,2194,0.1107,0.1064,0.1152
mattress,Понедельник,19818,3,Наматрасник/топпер,2187,0.1104,0.1061,0.1148
mattress,Вторник,19705,1,Одеяло,3146,0.1597,0.1546,0.1648
mattress,Вторник,19705,2,Детские товары,2198,0.1115,0.1072,0.116
mattress,Вторник,19705,3,Кровать/каркас,2187,0.111,0.1067,0.1154
mattress,Среда,20720,1,Одеяло,3375,0.1629,0.1579,0.168
mattress,Среда,20720,2,Детские товары,2377,0.1147,0.1105,0.1191
mattress,Среда,20720,3,Кровать/каркас,2268,0.1095,0.1053,0.1138
mattress,Четверг,20816,1,Одеяло,3310,0.159,0.1541,0.164
mattress,Четверг,20816,2,Детские товары,2393,0.115,0.1107,0.1194
mattress,Четверг,20816,3,Кровать/каркас,2274,0.1092,0.1051,0.1136
mattress,Пятница,21004,1,Одеяло,3391,0.1614,0.1565,0.1665
mattress,Пятница,21004,2,Детские товары,2424,0.1154,0.1112,0.1198
mattress,Пятница,21004,3,Кровать/каркас,2287,0.1089,0.1047,0.1132
mattress,Суббота,21657,1,Одеяло,3317,0.1532,0.1484,0.158
mattress,Суббота,21657,2,Кровать/каркас,2416,0.1116,0.1074,0.1158
mattress,Суббота,21657,3,Детские товары,2373,0.1096,0.1055,0.1138
mattress,Воскресенье,19802,1,Одеяло,3194,0.1613,0.1562,0.1665
mattress,Воскресенье,19802,2,Кровать/каркас,2213,0.1118,0.1074,0.1162
mattress,Воскресенье,19802,3,Детские товары,2129,0.1075,0.1033,0.1119
