target,channel,price_bin,year_from,year_to,checks_from,checks_to,cross_sell_top_2_from,cross_sell_top_2_to,cross_sell_top_3_from,cross_sell_top_3_to,top_2_changed,top_3_changed,cross_sell_rate_2_from,cross_sell_rate_2_to,cross_sell_rate_2_delta,cross_sell_rate_3_from,cross_sell_rate_3_to,cross_sell_rate_3_delta,cross_sell_support_2_from,cross_sell_support_2_to,cross_sell_support_3_from,cross_sell_support_3_to,cross_sell_rate_2_ci_low_from,cross_sell_rate_2_ci_high_from,cross_sell_rate_2_ci_low_to,cross_sell_rate_2_ci_high_to
mattress,all,<20k,2024,2025,43368,85362,Наволочка,Детские товары,Кровать/каркас,Косметика/гигиена,1,1,0.1072,0.1354,0.0282,0.1044,0.1193,0.0149,4647,11562,4526,10187,0.1043,0.1101,0.1332,0.1378
mattress,all,20-30k,2024,2025,2871,2868,Одеяло,Наматрасник/топпер,Наматрасник/топпер,Одеяло,1,1,0.1787,0.2015,0.0228,0.1466,0.1904,0.0438,513,578,421,546,0.1651,0.1931,0.1873,0.2166
mattress,all,30-50k,2024,2025,2817,2651,Другая мебель,Кровать/каркас,Одеяло,Наматрасник/топпер,1,1,0.1793,0.2395,0.0602,0.1555,0.2014,0.0459,505,635,438,534,0.1655,0.1939,0.2237,0.2561
mattress,all,50-100k,2024,2025,1585,1509,Основание/ламели,Основание/ламели,Одеяло,Одеяло,0,0,0.2177,0.2001,-0.0176,0.2,0.1789,-0.0211,345,302,317,270,0.198,0.2387,0.1807,0.2211
mattress,all,100k+,2024,2025,243,248,Кровать/каркас,Кровать/каркас,Основание/ламели,Основание/ламели,0,0,0.2222,0.25,0.0278,0.2099,0.1895,-0.0204,54,62,51,47,0.1745,0.2786,0.2002,0.3074
mattress,marketplace,<20k,2024,2025,38121,82392,Наволочка,Детские товары,Детские товары,Косметика/гигиена,1,1,0.1185,0.1388,0.0203,0.1063,0.1234,0.0171,4518,11439,4053,10164,0.1153,0.1218,0.1365,0.1412
mattress,marketplace,20-30k,2024,2025,795,1221,Наматрасник/топпер,Наматрасник/топпер,Наволочка,Наволочка,0,0,0.2314,0.2203,-0.0111,0.1597,0.1564,-0.0033,184,269,127,191,0.2035,0.262,0.198,0.2444
mattress,marketplace,30-50k,2024,2025,271,309,Наматрасник/топпер,Наматрасник/топпер,Наволочка,Наволочка,0,0,0.1993,0.1845,-0.0148,0.1624,0.1553,-0.0071,54,57,44,48,0.1561,0.2509,0.1452,0.2315
mattress,marketplace,50-100k,2024,2025,54,46,Наволочка,Одеяло,Наматрасник/топпер,Другая мебель,1,1,0.2778,0.3043,0.0265,0.1667,0.1739,0.0072,15,14,9,8,0.1762,0.4089,0.1908,0.4481
mattress,non_marketplace,<20k,2024,2025,5247,2970,Одеяло,Одеяло,Другая мебель,Другая мебель,0,0,0.1994,0.2481,0.0487,0.121,0.1838,0.0628,1046,737,635,546,0.1888,0.2104,0.2329,0.264
mattress,non_marketplace,20-30k,2024,2025,2076,1647,Другая мебель,Другая мебель,Одеяло,Наматрасник/топпер,0,1,0.1493,0.2495,0.1002,0.1469,0.1876,0.0407,310,411,305,309,0.1346,0.1653,0.2292,0.271
mattress,non_marketplace,30-50k,2024,2025,2546,2342,Другая мебель,Кровать/каркас,Основание/ламели,Наматрасник/топпер,1,1,0.1893,0.2558,0.0665,0.1551,0.2037,0.0486,482,599,395,477,0.1746,0.205,0.2385,0.2738
mattress,non_marketplace,50-100k,2024,2025,1531,1463,Основание/ламели,Основание/ламели,Одеяло,Одеяло,0,0,0.2253,0.2064,-0.0189,0.1927,0.175,-0.0177,345,302,295,256,0.2051,0.2469,0.1865,0.2279
mattress,non_marketplace,100k+,2024,2025,238,242,Кровать/каркас,Кровать/каркас,Основание/ламели,Основание/ламели,0,0,0.2269,0.2479,0.021,0.2143,0.1942,-0.0201,54,60,51,47,0.1783,0.2842,0.1978,0.306
pillow,all,0-1k,2024,2025,1071647,1421992,Наволочка,Косметика/гигиена,Косметика/гигиена,Наволочка,1,1,0.049,0.0616,0.0126,0.0465,0.0615,0.015,52482,87532,49853,87402,0.0486,0.0494,0.0612,0.062
pillow,all,1-2k,2024,2025,1378252,1737768,Наволочка,Одеяло,Косметика/гигиена,Наволочка,1,1,0.041,0.0461,0.0051,0.0373,0.0433,0.006,56544,80183,51414,75305,0.0407,0.0414,0.0458,0.0465
pillow,all,2-3k,2024,2025,450494,513612,Наволочка,Косметика/гигиена,Косметика/гигиена,Наволочка,1,1,0.0418,0.0506,0.0088,0.0329,0.0467,0.0138,18812,26008,14815,23967,0.0412,0.0423,0.05,0.0512
pillow,all,3-5k,2024,2025,252014,286697,Наволочка,Косметика/гигиена,Косметика/гигиена,Наволочка,1,1,0.0437,0.0465,0.0028,0.0319,0.0454,0.0135,11010,13321,8036,13017,0.0429,0.0445,0.0457,0.0472
pillow,all,5-10k,2024,2025,99820,98383,Наволочка,Другая мебель,Косметика/гигиена,Наволочка,1,1,0.0392,0.0456,0.0064,0.0256,0.0406,0.015,3916,4486,2553,3990,0.038,0.0405,0.0443,0.0469
pillow,all,10-20k,2024,2025,24627,22289,Наволочка,Матрас,Матрас,Наволочка,1,1,0.0772,0.0556,-0.0216,0.0495,0.0524,0.0029,1901,1239,1218,1169,0.0739,0.0806,0.0527,0.0587
pillow,all,20-30k,2024,2025,2908,2996,Наволочка,Матрас,Матрас,Наволочка,1,1,0.0818,0.0751,-0.0067,0.0732,0.0744,0.0012,238,225,213,223,0.0724,0.0924,0.0662,0.0851
pillow,all,30k+,2024,2025,1231,1129,Наволочка,Наволочка,Матрас,Матрас,0,0,0.0869,0.085,-0.0019,0.0853,0.0833,-0.002,107,96,105,94,0.0724,0.104,0.0701,0.1027
pillow,marketplace,0-1k,2024,2025,1040680,1404381,Наволочка,Наволочка,Косметика/гигиена,Косметика/гигиена,0,0,0.0497,0.0619,0.0122,0.0458,0.0612,0.0154,51715,86937,47645,86017,0.0493,0.0501,0.0615,0.0623
pillow,marketplace,1-2k,2024,2025,1352009,1719291,Одеяло,Одеяло,Косметика/гигиена,Наволочка,0,1,0.0413,0.0456,0.0043,0.0368,0.0435,0.0067,55810,78437,49717,74778,0.0409,0.0416,0.0453,0.0459
